Year,Measurement.date,Unit,Plot,Species,Number,Health,Herbivory,Condition,HT.cm,RCD.mm
2022,9/12/22,3,5,NYSY,13,D,0,0,,
2022,9/12/22,3,5,NYSY,14,D,0,0,,
2022,9/12/22,3,5,NYSY,15,L,1,0,49,8.4
2022,9/12/22,3,5,NYSY,16,L,1,0,50,7.7
2022,9/12/22,3,5,NYSY,17,D,0,0,,
2022,9/12/22,3,5,NYSY,18,D,0,0,,
2022,9/12/22,3,5,NYSY,19,L,1,0,37,5.9
2022,9/12/22,3,5,NYSY,20,D,0,0,,
2022,9/12/22,3,5,PRSE,1,L,2,0,88,10.6
2022,9/12/22,3,5,PRSE,2,L,2,1,71,9.5
2022,9/12/22,3,5,PRSE,3,L,2,0,87,10.4
2022,9/12/22,3,5,PRSE,4,L,3,0,51,5.5
2022,9/12/22,3,5,PRSE,5,V,3,1,67,6.7
2022,9/12/22,3,5,PRSE,6,L,2,0,87.5,17.6
2022,9/12/22,3,5,PRSE,7,L,1,0,97.5,13.8
2022,9/12/22,3,5,PRSE,8,V,3,0,40,6.2
2022,9/12/22,3,5,PRSE,9,V,3,1,67.5,9.9
2022,9/12/22,3,5,PRSE,10,L,2,0,69,15.7
2022,9/12/22,3,5,PRSE,11,V,3,0,90,8.9
2022,9/12/22,3,5,PRSE,12,V,2,1,28.5,6.3
2022,9/12/22,3,5,PRSE,13,V,1,1,97,11
2022,9/12/22,3,5,PRSE,14,V,2,0,34.5,5
2022,9/12/22,3,5,PRSE,15,V,2,0,45.5,5.4
2022,9/12/22,3,5,PRSE,16,L,2,1,40,5.3
2022,9/12/22,3,5,PRSE,17,L,1,0,59.5,6.7
2022,9/12/22,3,5,PRSE,18,V,3,0,97.5,11.6
2022,9/12/22,3,5,PRSE,19,L,1,0,132,10.9
2022,9/12/22,3,5,PRSE,20,L,2,0,135.5,14.7
2022,9/12/22,3,5,BELE,1,D,0,0,,
2022,9/12/22,3,5,BELE,2,D,0,0,,
2022,9/12/22,3,5,BELE,3,D,0,0,,
2022,9/12/22,3,5,BELE,4,D,0,0,,
2022,9/12/22,3,5,BELE,5,L,1,0,124,14.8
2022,9/12/22,3,5,BELE,6,D,0,0,,
2022,9/12/22,3,5,BELE,7,L,1,0,180,22.2
2022,9/12/22,3,5,BELE,8,D,0,0,,
2022,9/12/22,3,5,BELE,9,D,0,0,,
2022,9/12/22,3,5,BELE,10,D,0,0,,
2022,9/12/22,3,5,BELE,11,D,0,0,,
2022,9/12/22,3,5,BELE,12,D,0,0,,
2022,9/12/22,3,5,BELE,13,L,1,0,160,12.8
2022,9/12/22,3,5,BELE,14,D,0,0,,
2022,9/12/22,3,5,BELE,15,D,0,0,,
2022,9/12/22,3,5,BELE,16,L,1,0,145.5,24.1
2022,9/12/22,3,5,BELE,17,D,0,1,,
2022,9/12/22,3,5,BELE,18,D,0,0,,
2022,9/12/22,3,5,BELE,19,D,0,0,,
2022,9/12/22,3,5,BELE,20,D,0,1,,
2022,9/12/22,3,5,CACO,1,L,1,1,14,1.8
2022,9/12/22,3,5,CACO,2,L,0,1,13,3.1
2022,9/12/22,3,5,CACO,3,L,1,0,12,3.7
2022,9/12/22,3,5,CACO,4,L,1,0,20,1.7
2022,9/12/22,3,5,CACO,5,D,0,0,,
2022,9/12/22,3,5,CACO,6,D,0,0,,
2022,9/12/22,3,5,CACO,7,L,1,0,15,5.9
2022,9/12/22,3,5,CACO,8,L,1,1,23,3.7
2022,9/12/22,3,5,CACO,9,L,1,1,15,2.2
2022,9/12/22,3,5,CACO,10,L,1,0,25,5.6
2022,9/12/22,3,5,CACO,11,L,1,1,17,4
2022,9/12/22,3,5,CACO,12,L,0,0,21,2.9
2022,9/12/22,3,5,CACO,13,L,1,1,20,4.7
2022,9/12/22,3,5,CACO,14,L,2,0,26,3.9
2022,9/12/22,3,5,CACO,15,L,1,1,10,1.2
2022,9/12/22,3,5,CACO,16,V,2,0,14,2.7
2022,9/12/22,3,5,CACO,17,L,1,1,10,1.8
2022,9/12/22,3,5,CACO,18,L,1,0,30,4.7
2022,9/12/22,3,5,CACO,19,D,0,0,,
2022,9/12/22,3,5,CACO,20,V,1,0,6.5,3.9
2022,9/12/22,3,5,QURU,1,L,2,0,74,9.9
2022,9/12/22,3,5,QURU,2,D,0,0,,
2022,9/12/22,3,5,QURU,3,D,0,0,,
2022,9/12/22,3,5,QURU,4,L,2,0,39,9.8
2022,9/12/22,3,5,QURU,5,L,1,0,61,10.5
2022,9/12/22,3,5,QURU,6,D,0,0,,
2022,9/12/22,3,5,QURU,7,L,2,1,83,12.2
2022,9/12/22,3,5,QURU,8,L,1,1,87,15.6
2022,9/12/22,3,5,QURU,9,L,1,0,50,8
2022,9/12/22,3,5,QURU,10,L,1,0,57,5.8
